"","date","rec_group_adjusted_new","individuals_at_receiver","total_individuals","proportion","avg_depth"
"1",2021-10-27,"Bayfront area",2,4,50,3.5126716553288
"2",2021-10-27,"West End",2,4,50,5.81574595705936
"3",2021-10-28,"Bayfront area",2,9,22.2222222222222,2.19257191283293
"4",2021-10-28,"North shore",1,9,11.1111111111111,6.7678
"5",2021-10-28,"West End",6,9,66.6666666666667,6.20944048656519
"6",2021-10-29,"Bayfront area",1,12,8.33333333333333,3.36801728395062
"7",2021-10-29,"Central",3,12,25,12.4493093380406
"8",2021-10-29,"North shore",1,12,8.33333333333333,7.73305373134328
"9",2021-10-29,"West End",7,12,58.3333333333333,6.56446018106958
"10",2021-10-30,"Bayfront area",1,12,8.33333333333333,0.719571428571429
"11",2021-10-30,"Central",2,12,16.6666666666667,10.2524299516908
"12",2021-10-30,"North shore",2,12,16.6666666666667,8.3698769348659
"13",2021-10-30,"West End",7,12,58.3333333333333,7.01876751431369
"14",2021-10-31,"Central",3,12,25,9.04647936507937
"15",2021-10-31,"North shore",1,12,8.33333333333333,7.98357213622291
"16",2021-10-31,"West End",8,12,66.6666666666667,5.19129578929275
"17",2021-11-01,"Bayfront area",1,12,8.33333333333333,3.29849850746269
"18",2021-11-01,"Central",3,12,25,8.238671688672
"19",2021-11-01,"North shore",1,12,8.33333333333333,7.90148177777778
"20",2021-11-01,"West End",7,12,58.3333333333333,5.38465744689858
"21",2021-11-02,"Central",4,12,33.3333333333333,7.42119962381409
"22",2021-11-02,"West End",8,12,66.6666666666667,6.09830804565651
"23",2021-11-03,"Bayfront area",4,16,25,5.31009298323821
"24",2021-11-03,"Central",2,16,12.5,5.26812610594266
"25",2021-11-03,"North shore",1,16,6.25,9.01623798882682
"26",2021-11-03,"West End",9,16,56.25,7.05770572031625
"27",2021-11-04,"Bayfront area",2,16,12.5,5.88778385291519
"28",2021-11-04,"Central",2,16,12.5,7.95842452809458
"29",2021-11-04,"North shore",1,16,6.25,7.09366666666667
"30",2021-11-04,"West End",11,16,68.75,6.57736146992343
"31",2021-11-05,"Bayfront area",3,16,18.75,7.22819233474387
"32",2021-11-05,"Central",1,16,6.25,4.88890048780488
"33",2021-11-05,"North shore",2,16,12.5,9.05272307692308
"34",2021-11-05,"West End",10,16,62.5,7.03885396178599
"35",2021-11-06,"Bayfront area",1,16,6.25,9.95422795341098
"36",2021-11-06,"Central",2,16,12.5,11.9138104120241
"37",2021-11-06,"North shore",2,16,12.5,8.84793544973545
"38",2021-11-06,"West End",11,16,68.75,7.16562047143877
"39",2021-11-07,"Central",3,16,18.75,10.6465173482726
"40",2021-11-07,"North shore",2,16,12.5,8.17919657142857
"41",2021-11-07,"West End",11,16,68.75,7.11290925591132
"42",2021-11-08,"Bayfront area",2,16,12.5,9.74135628169014
"43",2021-11-08,"Central",4,16,25,9.22049394345258
"44",2021-11-08,"North shore",1,16,6.25,10.3110165517241
"45",2021-11-08,"West End",9,16,56.25,6.24763516868057
"46",2021-11-09,"Bayfront area",1,16,6.25,9.61587239819005
"47",2021-11-09,"Central",4,16,25,7.28494501810081
"48",2021-11-09,"North shore",2,16,12.5,9.71213443609022
