Longitude (x),Latitude (y),Station Name,Climate ID,Date_Time,Year,Month,Day,Time,Flag,Temp ,Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Precip. Amount (mm),Precip. Amount Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
-79.91,43.29,HAMILTON RBG CS,6153301,4/1/2025 0:00,2025,4,1,0:00,,1.5,,-3.9,,67,,0,,31,,7,,,,100.21,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/1/2025 1:00,2025,4,1,1:00,,1.4,,-4.4,,66,,0,,31,,5,,,,100.3,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/1/2025 2:00,2025,4,1,2:00,,1.4,,-4.5,,65,,0,,28,,5,,,,100.34,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/1/2025 3:00,2025,4,1,3:00,,1.3,,-4.2,,66,,0,,28,,8,,,,100.39,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/1/2025 4:00,2025,4,1,4:00,,1.1,,-4,,68,,0,,29,,8,,,,100.48,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/1/2025 5:00,2025,4,1,5:00,,1,,-4,,69,,0,,30,,6,,,,100.56,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/1/2025 6:00,2025,4,1,6:00,,0.9,,-4.1,,69,,0,,29,,5,,,,100.66,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/1/2025 7:00,2025,4,1,7:00,,0.7,,-4.9,,66,,0,,1,,4,,,,100.76,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/1/2025 8:00,2025,4,1,8:00,,2.4,,-8.7,,44,,0,,34,,8,,,,100.82,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/1/2025 9:00,2025,4,1,9:00,,3.6,,-7.5,,44,,0,,31,,7,,,,100.94,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/1/2025 10:00,2025,4,1,10:00,,4.1,,-9.9,,35,,0,,29,,14,,,,101,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/1/2025 11:00,2025,4,1,11:00,,4.6,,-10.6,,32,,0,,31,,7,,,,101.04,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/1/2025 12:00,2025,4,1,12:00,,4.9,,-10.3,,32,,0,,33,,9,,,,101.1,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/1/2025 13:00,2025,4,1,13:00,,6.3,,-10.9,,28,,0,,32,,7,,,,101.13,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/1/2025 14:00,2025,4,1,14:00,,4.3,,-8,,40,,0,,11,,12,,,,101.15,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/1/2025 15:00,2025,4,1,15:00,,4.9,,-9.1,,36,,0,,10,,10,,,,101.17,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/1/2025 16:00,2025,4,1,16:00,,4.2,,-9.4,,37,,0,,11,,11,,,,101.18,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/1/2025 17:00,2025,4,1,17:00,,3.7,,-11,,33,,0,,12,,12,,,,101.17,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/1/2025 18:00,2025,4,1,18:00,,3.3,,-13.9,,27,,0,,5,,7,,,,101.3,,,,,,NA
