"","station","glatos_array","station_no","consecutive_deploy_no","intend_lat","intend_long","deploy_lat","deploy_long","recover_lat","recover_long","deploy_date_time","recover_date_time","bottom_depth","riser_length","instrument_depth","ins_model_no","glatos_ins_frequency","ins_serial_no","code_map","code_map_comment","deployed_by","comments","glatos_seasonal","glatos_project","glatos_vps"
"1","HAM-001","HAM","1",1,NA,NA,43.30556,-79.82056,NA,NA,2015-08-06 10:00:00,2016-04-20 04:00:00,NA,NA,NA,"VR2W",69,127832,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"2","HAM-002","HAM","2",1,NA,NA,43.28639,-79.79694,NA,NA,2015-08-06 10:00:00,2016-04-22 04:00:00,NA,NA,NA,"VR2W",69,127833,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"3","HAM-003","HAM","3",1,NA,NA,43.29444,-79.79972,NA,NA,2015-08-06 10:00:00,2016-04-20 04:00:00,NA,NA,NA,"VR2W",69,127836,"MAP-113","error 1 initialization occurred between deploy and recover",NA,NA,"No","HAMLO","No"
"4","HAM-004","HAM","4",1,NA,NA,43.28806,-79.83556,NA,NA,2015-08-06 10:00:00,2016-04-19 04:00:00,NA,NA,NA,"VR2W",69,127845,"MAP-113","error 1 initialization occurred between deploy and recover",NA,NA,"No","HAMLO","No"
"5","HAM-005","HAM","5",1,NA,NA,43.28111,-79.86472,NA,NA,2015-08-06 10:00:00,2016-04-22 04:00:00,NA,NA,NA,"VR2W",69,127849,"MAP-113","error 1 initialization occurred between deploy and recover",NA,NA,"No","HAMLO","No"
"6","HAM-006","HAM","6",1,NA,NA,43.30666,-79.80714,NA,NA,2015-08-06 10:00:00,2016-04-19 04:00:00,NA,NA,NA,"VR2W",69,127850,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"7","HAM-010","HAM","10",1,NA,NA,43.26856,-79.7815,NA,NA,2015-08-07 10:00:00,2016-04-12 04:00:00,NA,NA,NA,"VR2W",69,127835,"MAP-113","error 1 initialization occurred between deploy and recover",NA,NA,"Yes","HAMLO","No"
"8","HAM-012","HAM","12",1,NA,NA,43.30048,-79.80591,NA,NA,2015-08-07 10:00:00,2016-04-13 04:00:00,NA,NA,NA,"VR2W",69,127839,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"9","HAM-013","HAM","13",1,NA,NA,43.29686,-79.80135,NA,NA,2015-08-07 10:00:00,2016-04-13 04:00:00,NA,NA,NA,"VR2W",69,127846,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"10","HAM-007","HAM","7",1,NA,NA,43.30136,-79.8401,NA,NA,2015-08-07 10:00:00,2016-04-21 04:00:00,NA,NA,NA,"VR2W",69,126879,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"11","HAM-008","HAM","8",1,NA,NA,43.27515,-79.79315,NA,NA,2015-08-07 10:00:00,2016-05-09 04:00:00,NA,NA,NA,"VR2W",69,126880,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"12","HAM-009","HAM","9",1,NA,NA,43.28036,-79.80383,NA,NA,2015-08-07 10:00:00,2016-04-14 04:00:00,NA,NA,NA,"VR2W",69,127827,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"13","HAM-014","HAM","14",1,NA,NA,43.28466,-79.87537,NA,NA,2015-08-13 10:00:00,2016-04-14 04:00:00,NA,NA,NA,"VR2W",69,126876,"MAP-113","error 1 initialization occurred between deploy and recover",NA,NA,"No","HAMLO","No"
