"","station_no","deploy_lat","deploy_long","rec_group","year_status","has_2022","has_2023"
"1",1,43.30528,-79.82083,"North shore","2023_Only",0,1
"2",1,43.30537,-79.82082,"North shore","2022_Only",1,0
"3",2,43.28528,-79.79556,"East End","2023_Only",0,1
"4",2,43.2869,-79.79491,"East End","2022_Only",1,0
"5",3,43.29461,-79.80053,"East End","2022_Only",1,0
"6",3,43.29504,-79.79685,"East End","2023_Only",0,1
"7",4,43.28639,-79.84778,"Central","2022_Only",1,0
"8",4,43.28667,-79.84556,"Central","2023_Only",0,1
"9",5,43.28102,-79.86579,"West End","2023_Only",0,1
"10",5,43.28133,-79.86433,"West End","2022_Only",1,0
"11",7,43.30139,-79.83917,"North shore","2022_Only",1,0
"12",7,43.30145,-79.83985,"North shore","2023_Only",0,1
"13",9,43.28036,-79.80383,"East End","2022_Only",1,0
"14",10,43.26856,-79.7815,"East End","2022_Only",1,0
"15",11,43.2773,-79.8669,"West End","Both_Years",1,1
"16",12,43.30048,-79.80591,"East End","2022_Only",1,0
"17",13,43.29691,-79.80157,"East End","Both_Years",1,1
"18",15,43.29365,-79.85536,"North shore","Both_Years",1,1
"19",17,43.29468,-79.8297,"Central","2023_Only",0,1
"20",17,43.29488,-79.82113,"Central","2022_Only",1,0
"21",18,43.27267,-79.878,"West End","2022_Only",1,0
"22",21,43.28578,-79.82647,"Central","Both_Years",1,1
"23",22,43.30235,-79.79037,"Outside Harbour","Both_Years",1,1
"24",23,43.28569,-79.86764,"West End","Both_Years",1,1
"25",25,43.30969,-79.81158,"East End","Both_Years",1,1
"26",27,43.276425,-79.87298,"West End","2022_Only",1,0
"27",27,43.27861,-79.87556,"West End","2023_Only",0,1
"28",28,43.27508,-79.88077,"West End","2023_Only",0,1
"29",28,43.27556,-79.88082,"West End","2022_Only",1,0
"30",29,43.28936,-79.88731,"Carrolls Bay","Both_Years",1,1
"31",30,43.27192,-79.92519,"Cootes Paradise","Both_Years",1,1
"32",32,43.27973,-79.89347,"Carrolls Bay","Both_Years",1,1
"33",33,43.29208,-79.88394,"Grindstone","2022_Only",1,0
"34",33,43.29215,-79.88395,"Grindstone","2023_Only",0,1
"35",34,43.27142,-79.80812,"East End","Both_Years",1,1
"36",35,43.26228,-79.77238,"East End","Both_Years",1,1
"37",36,43.27139,-79.8695,"Bayfront area","Both_Years",1,1
"38",37,43.27886,-79.88536,"West End","2023_Only",0,1
"39",37,43.2789,-79.88599,"West End","2022_Only",1,0
"40",39,43.28176,-79.85158,"Central","2022_Only",1,0
"41",41,43.2767,-79.83893,"Central","Both_Years",1,1
"42",42,43.26864,-79.93536,"Cootes Paradise","2023_Only",0,1
"43",43,43.27957,-79.8915,"Carrolls Bay","Both_Years",1,1
"44",44,43.27597,-79.90658,"Cootes Paradise","2023_Only",0,1
"45",45,43.3046,-79.80238,"East End","Both_Years",1,1
"46",46,43.30771,-79.82588,"North shore","Both_Years",1,1
"47",47,43.30267,-79.83991,"North shore","Both_Years",1,1
"48",48,43.27311,-79.88506,"West End","2022_Only",1,0
"49",51,43.26976,-79.87317,"Bayfront area","Both_Years",1,1
"50",52,43.27438,-79.86617,"Bayfront area","Both_Years",1,1
"51",53,43.2759,-79.86333,"Bayfront area","Both_Years",1,1
"52",54,43.27472,-79.86203,"Bayfront area","Both_Years",1,1
"53",55,43.27455,-79.8649,"Bayfront area","Both_Years",1,1
"54",56,43.27493,-79.86332,"Bayfront area","Both_Years",1,1
"55",57,43.275,-79.8607,"Bayfront area","Both_Years",1,1
"56",58,43.31292,-79.8061,"East End","Both_Years",1,1
"57",59,43.29481,-79.87588,"Grindstone","2023_Only",0,1
"58",59,43.29484,-79.8759,"Grindstone","2022_Only",1,0
"59",60,43.29026,-79.88512,"Grindstone","2022_Only",1,0
"60",60,43.29029,-79.88518,"Grindstone","2023_Only",0,1
"61",61,43.29002,-79.88233,"Grindstone","2022_Only",1,0
"62",61,43.29015,-79.88239,"Grindstone","2023_Only",0,1
"63",62,43.29034,-79.8864,"Grindstone","2022_Only",1,0
"64",62,43.29041,-79.88652,"Grindstone","2023_Only",0,1
"65",63,43.2822,-79.88451,"Carrolls Bay","2023_Only",0,1
"66",66,43.29282,-79.88101,"Grindstone","Both_Years",1,1
"67",67,43.29409,-79.87926,"Grindstone","Both_Years",1,1
"68",68,43.28967,-79.88531,"Grindstone","2022_Only",1,0
"69",68,43.28968,-79.88512,"Grindstone","2023_Only",0,1
"70",70,43.28605,-79.88826,"Carrolls Bay","2023_Only",0,1
"71",71,43.28121,-79.88821,"Carrolls Bay","2023_Only",0,1
"72",72,43.27815,-79.88745,"West End","Both_Years",1,1
"73",73,43.28003,-79.88284,"West End","Both_Years",1,1
"74",74,43.28268,-79.87783,"West End","Both_Years",1,1
"75",75,43.28577,-79.8707,"West End","Both_Years",1,1
"76",76,43.28368,-79.87139,"West End","Both_Years",1,1
"77",77,43.28064,-79.8693,"West End","Both_Years",1,1
"78",78,43.27774,-79.87807,"West End","Both_Years",1,1
"79",79,43.27447,-79.88546,"West End","2023_Only",0,1
"80",79,43.27476,-79.88547,"West End","2022_Only",1,0
"81",80,43.27191,-79.88202,"West End","2023_Only",0,1
"82",81,43.2712,-79.87804,"Bayfront area","2023_Only",0,1
"83",82,43.27184,-79.87547,"Bayfront area","2023_Only",0,1
"84",83,43.27432,-79.87759,"West End","2023_Only",0,1
"85",84,43.27551,-79.87173,"West End","2023_Only",0,1
"86",85,43.27843,-79.8619,"West End","2023_Only",0,1
